program,summary_description,program_description,geography,legislation,topic,subtopic,building_blocks,racf_categories,flexible_fund, allocation ,spent,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired,notes,Tina's notes
Child Care Provider Capacity Building Pilot Program,,"Provide daycare services, increase the number of households who have access to daycare, allowing them to accept jobs.  Create new child care businesses in the county and reopen a facility.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Childcare,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$1,600,000 ",,1,,Monroe County DHS,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v11,12/22/2022,,,,
Minister Franklin D. Florence Civil Rights Park,,"Located in Baden Park, this impactful community project will creat an outdoor learning environment that will present historical narratives of Rochester's Black Feedom Struggle, emphasizing the rich history of civil rights and civic engagement.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Parks,Reinvest in disinvested communities,Supporting Arts and Culture,Yes,"$500,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Changed to supporting arts and culture for RACF,"I think this would count as reinvesting in disinvested communities, no?"
Maplewood Nature Center,,"The Nature Center will serve as Rochester's hub for specialized environmental education and expeditionary experiences along the Genesee River including interactive exhibits, demonstration gardens, wildlife, outdoor adventures, summer camps and a nature pre-K. This project is supported by the ROC the Riverway initiative.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Parks,,,Yes,"$5,525,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Charles Carroll Plaza Phase II,,"Redesign and reconstruction of this scenic park located in downtown Rochester spanning the Genesee River just south of High Falls, close to Main Street. This is a project supported by the ROC the Riverway initiative.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Parks,,,Yes,"$1,500,000 ","$1,500,000 ",1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Erie Harbor Enhancements Phase 2,,"Park renovations to provide sightlines and access to the waterfront and trail system, enhance public recreational use of the parkland, and provide direct public recreational use of the Genesee River for non-motorized hand carried watercraft. This is a project supported by the ROC the Riverway initiative.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Parks,,,Yes,"$1,000,000 ","$876,205 ",1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Durand Eastman Beach - Beach House & Gateway Improvement,,"Enhance Durand Eastman Park through the addition of acessible public pathways and numerous site improvements including lighting, a bus shelter for public access, signage, emergency vehicle access, bicycle parking, plantings, lighting and landscaping.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Parks,,,Yes,"$1,700,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Humboldt Spray Park Renovation,,"The existing spray park, installed in 2001, was the City's first spray park. The spray park is reaching the end of its service life and this project will update the mechanical, electrical, plumbing, control, and surfacing systems.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Parks,,,Yes,"$650,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Aqueduct Reimagined,,This funding will be used to address utility relocations and other critical foundational activities to advance the full vision of creating riverfront connectivity on the downtown waterfront by establishing an iconic public space and extending the Genesse Riverway Trail through downtown Rochester.,Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Parks,,,Yes,"$2,000,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Bulls Head Predevelopment Activities,,"Funds will be used to support predevelopment activities related to the ongoing Bull's Head revitalization project, located on the western part of the city surrounding the intersection of West Main Street, West Avenue, Brown and Genesee Streets.",Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Revitalization,Reinvest in disinvested communities,,Yes,"$720,000 ",$0 ,1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?; Given the community concerns Suzanne raised about this project wondering if it's appropriate to categorize under the building block,
Kiva Rochester Administration,,Administration of the City's Kiva program to increase the volume of low-interest loans to Rochester entrpreneurs.,Rochester,ARPA State and Local Fiscal Recovery Funds,Community and Economic Development,Small Business Supports,Create jobs for residents hardest hit by the pandemic or who face the greatest barriers to employment,Partnering against poverty,Yes,"$175,000 ","$35,036 ",1,,Administration,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,"Kiva is definitely equitable recovery, I think it would fit under creating new jobs since it helps people start their own businesses"
